States/UTs,Over-Speeding - National Highways under NHAI - Total Accidents,Over-Speeding - National Highways under NHAI - Death,Over-Speeding - National Highways under State PWD - Total Accidents,Over-Speeding - National Highways under State PWD - Death,Over-Speeding - National Highways under Other department - Total Accidents,Over-Speeding - National Highways under Other department - Death, Drunken Driving/ Consumption of alcohol and drug - National Highways under NHAI - Total Accidents, Drunken Driving/ Consumption of alcohol and drug - National Highways under NHAI - Death, Drunken Driving/ Consumption of alcohol and drug - National Highways under State PWD - Total Accidents, Drunken Driving/ Consumption of alcohol and drug - National Highways under State PWD - Death, Drunken Driving/ Consumption of alcohol and drug - National Highways under Other department - Total Accidents, Drunken Driving/ Consumption of alcohol and drug - National Highways under Other department - Death, Driving on Wrong side - National Highways under NHAI - Total Accidents, Driving on Wrong side - National Highways under NHAI - Death, Driving on Wrong side - National Highways under State PWD - Total Accidents, Driving on Wrong side - National Highways under State PWD - Death, Driving on Wrong side - National Highways under Other department - Total Accidents, Driving on Wrong side - National Highways under Other department - Death,Jumping Red Light - National Highways under NHAI - Total Accidents,Jumping Red Light - National Highways under NHAI - Death,Jumping Red Light - National Highways under State PWD - Total Accidents,Jumping Red Light - National Highways under State PWD - Death,Jumping Red Light - National Highways under Other department - Total Accidents,Jumping Red Light - National Highways under Other department - Death,Use of Mobile Phone - National Highways under NHAI - Total Accidents,Use of Mobile Phone - National Highways under NHAI - Death,Use of Mobile Phone - National Highways under State PWD - Total Accidents,Use of Mobile Phone - National Highways under State PWD - Death,Use of Mobile Phone - National Highways under Other department - Total Accidents,Use of Mobile Phone - National Highways under Other department - Death,Others - National Highways under NHAI - Total Accidents,Others - National Highways under NHAI - Death,Others - National Highways under State PWD - Total Accidents,Others - National Highways under State PWD - Death,Others - National Highways under Other department - Total Accidents,Others - National Highways under Other department - Death,Total - National Highways under NHAI - Total Accidents,Total - National Highways under NHAI - Death,Total - National Highways under State PWD - Total Accidents,Total - National Highways under State PWD - Death,Total - National Highways under Other department - Total Accidents,Total - National Highways under Other department - Death
Andhra Pradesh,4186,1551,1605,697,131,60,19,13,6,2,1,0,93,44,21,8,3,1,0,0,0,0,0,0,26,11,2,2,1,0,676,265,341,186,56,18,5000,1884,1975,895,192,79
Arunachal Pradesh,20,8,10,4,0,0,12,5,2,4,0,0,8,5,4,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,2,4,1,0,0,47,21,20,11,0,0
Assam,1254,505,583,318,393,174,85,33,49,29,12,4,116,50,18,18,19,7,15,5,6,1,0,0,48,22,20,11,4,1,202,85,74,45,65,14,1720,700,750,422,493,200
Bihar,1611,1312,518,412,0,0,1,1,0,0,0,0,242,221,73,60,0,0,0,0,0,0,0,0,39,37,9,8,0,0,1268,996,340,238,0,0,3161,2567,940,718,0,0
Chhattisgarh,1748,690,1388,539,0,0,8,5,4,6,0,0,20,16,43,18,0,0,2,1,0,0,0,0,2,1,0,0,0,0,110,58,138,56,0,0,1890,771,1573,619,0,0
Goa,0,0,552,42,0,0,0,0,3,0,0,0,0,0,34,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,197,10,0,0,0,0,787,61,0,0
Gujarat,2586,1448,517,268,2,2,7,4,1,0,1,1,74,56,14,7,0,0,0,0,0,0,0,0,5,1,0,0,0,0,9,6,18,4,0,0,2681,1515,550,279,3,3
Haryana,1793,946,30,12,38,34,20,11,15,10,7,3,152,59,12,6,9,7,11,11,7,4,6,2,23,9,10,3,7,3,874,532,15,3,10,8,2873,1568,89,38,77,57
Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jammu and Kashmir,1373,244,105,11,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1373,244,105,11,34,3
Jharkhand,244,45,312,118,382,185,83,83,173,179,81,69,46,46,47,52,21,28,30,37,16,21,9,16,48,49,15,19,11,12,32,39,187,207,35,36,483,299,750,596,539,346
Karnataka,8272,2429,1862,543,188,36,6,1,2,1,0,0,187,49,104,20,0,0,2,1,0,0,0,0,2,1,0,0,0,0,480,200,123,48,2,1,8949,2681,2091,612,190,37
Kerala,220,26,4354,576,0,0,2,1,15,1,0,0,12,1,253,23,0,0,0,0,17,1,0,0,0,0,3,1,0,0,112,10,1606,247,0,0,346,38,6248,849,0,0
Madhya Pradesh,6745,2180,827,197,555,147,247,95,45,12,36,8,382,120,53,20,34,5,8,3,0,0,0,0,171,41,25,4,3,1,597,157,108,24,30,8,8150,2596,1058,257,658,169
Maharashtra,3970,2238,572,307,513,268,14,9,10,2,0,0,175,97,15,6,24,15,0,0,1,0,0,0,0,0,1,1,0,0,711,344,368,184,127,57,4870,2688,967,500,664,340
Manipur,54,12,55,20,51,12,10,0,7,2,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,31,26,9,64,12,132,57,77,21
Meghalaya,48,41,10,7,0,0,10,5,2,2,0,0,8,3,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,41,17,3,4,1,1,112,67,15,13,1,1
Mizoram,11,13,0,0,0,0,10,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,0,0
Nagaland,84,19,0,0,0,0,44,5,0,0,0,0,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,2,0,0,0,0,309,29,0,0,0,0
Orissa,2369,1173,446,202,20,5,142,76,23,6,9,3,192,83,29,10,8,3,0,0,7,3,0,0,75,41,17,10,15,4,199,120,122,42,0,0,2977,1493,644,273,52,15
