States/UTs,Over-Speeding - National Highways under NHAI - Total Accidents,Over-Speeding - National Highways under NHAI - Death,Over-Speeding - National Highways under State PWD - Total Accidents,Over-Speeding - National Highways under State PWD - Death,Over-Speeding - National Highways under Other department - Total Accidents,Over-Speeding - National Highways under Other department - Death,Drunken Driving/ Consumption of alcohol and drug - National Highways under NHAI - Total Accidents,Drunken Driving/ Consumption of alcohol and drug - National Highways under NHAI - Death,Drunken Driving/ Consumption of alcohol and drug - National Highways under State PWD - Total Accidents,Drunken Driving/ Consumption of alcohol and drug - National Highways under State PWD - Death,Drunken Driving/ Consumption of alcohol and drug - National Highways under Other department - Total Accidents,Drunken Driving/ Consumption of alcohol and drug - National Highways under Other department - Death,Driving on Wrong side - National Highways under NHAI - Total Accidents,Driving on Wrong side - National Highways under NHAI - Death,Driving on Wrong side - National Highways under State PWD - Total Accidents,Driving on Wrong side - National Highways under State PWD - Death,Driving on Wrong side - National Highways under Other department - Total Accidents,Driving on Wrong side - National Highways under Other department - Death,Jumping Red Light - National Highways under NHAI - Total Accidents,Jumping Red Light - National Highways under NHAI - Death,Jumping Red Light - National Highways under State PWD - Total Accidents,Jumping Red Light - National Highways under State PWD - Death,Jumping Red Light - National Highways under Other department - Total Accidents,Jumping Red Light - National Highways under Other department - Death,Use of Mobile Phone - National Highways under NHAI - Total Accidents,Use of Mobile Phone - National Highways under NHAI - Death,Use of Mobile Phone - National Highways under State PWD - Total Accidents,Use of Mobile Phone - National Highways under State PWD - Death,Use of Mobile Phone - National Highways under Other department - Total Accidents,Use of Mobile Phone - National Highways under Other department - Death,Others - National Highways under NHAI - Total Accidents,Others - National Highways under NHAI - Death,Others - National Highways under State PWD - Total Accidents,Others - National Highways under State PWD - Death,Others - National Highways under Other department - Total Accidents,Others - National Highways under Other department - Death,Total - National Highways under NHAI - Total Accidents,Total - National Highways under NHAI - Death,Total - National Highways under State PWD - Total Accidents,Total - National Highways under State PWD - Death,Total - National Highways under Other department - Total Accidents,Total - National Highways under Other department - Death
Andhra Pradesh,5167,2155,1760,800,113,13,23,8,8,5,3,4,157,80,24,11,23,6,4,0,0,0,13,0,34,60,0,0,0,0,552,300,356,158,4,2,5937,2603,2148,974,156,25
Arunachal Pradesh,32,17,21,10,0,0,18,12,7,6,0,0,20,13,14,8,0,0,0,0,0,0,0,0,5,4,6,3,0,0,14,9,10,5,0,0,89,55,58,32,0,0
Assam,1827,878,697,302,444,185,76,28,53,27,22,7,70,45,0,0,28,17,4,2,0,0,0,0,46,17,0,0,16,6,100,50,3,1,22,9,2123,1020,753,330,532,224
Bihar,1200,904,440,383,0,0,6,2,4,2,0,0,299,259,62,48,0,0,0,0,0,0,0,0,26,19,15,11,0,0,1872,1542,425,347,0,0,3403,2726,946,791,0,0
Chhattisgarh,1600,721,1737,799,0,0,16,8,4,3,0,0,21,11,29,16,0,0,2,2,0,0,0,0,0,0,0,0,0,0,95,41,106,62,0,0,1734,783,1876,880,0,0
Goa,0,0,875,70,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,213,12,0,0,0,0,1116,83,0,0
Gujarat,2605,1678,573,286,16,7,6,3,2,1,2,1,73,53,34,9,2,1,0,0,0,0,0,0,27,8,31,4,0,0,22,20,13,6,0,0,2733,1762,653,306,20,9
Haryana,2069,1004,20,10,15,12,16,4,6,6,10,7,132,80,27,8,7,10,11,11,5,9,12,8,17,18,17,12,8,9,778,524,5,10,19,24,3023,1641,80,55,71,70
Himachal Pradesh,13,6,448,170,22,4,2,1,23,4,3,2,6,2,117,30,7,2,0,0,0,0,0,0,0,0,7,7,0,0,22,12,488,178,21,7,43,21,1083,389,53,15
Jharkhand,1003,768,340,259,222,201,65,63,80,62,21,16,51,43,37,34,20,11,0,0,0,0,0,0,14,6,29,26,8,7,0,0,0,0,0,0,1133,880,486,381,271,235
